sentences 	 labels
but if the white man finds a user of a plant native to Africa, the blacks will demand a royalty .	1
even though I'm a German and English .	0
White Power 2508 White Power 2508 White Power	0
all racist attacks in Ireland are now exclusively the work of Stormfront Ireland .	1
it wasn't hard to do it .	0
the Arab military is incompetent .	1
I'm from Slovenia...... and I'm completely disgusted by all Muslims in the world...... and I'm disgusted by the dead .	1
no matter what he's got, he's got something that no one else is offering to the public .	0
I think our enemies are using our enemies to discourage white voters .	0
and so far, Gerry Dingleberry is trying to kill the Irish generation . 	0
the cop was white .	0
I've only seen black on TV in St . Petersburg .	0
niggas don't wait for the line .	1
it was always a popular subject in the war .	0
I'm afraid you've been worried about your posts, because they didn't show up in time - don't worry, it's just that we have to check your stuff when you're new .	0
he's a French football player, or a French football player ?	0
we started fighting back against the constant harassment we've been receiving .	0
it's not going to hurt .	0
I just wanted to call on more people in the area of Calgary who would like to meet, so please feel free to contact me . 	0
that's what I've come to .	0
actually, I've been responding to a Swiss person who's just beginning the thread . 	0
it's easy to solve .	0
the Chinese immigration is strict about the gas .	0
unfortunately, I'm missing the 21st March, but I'll be in the mail by about ten other white nationalists . 	0
I'm from there . My family's there .	0
the punch in the face is a punch in the face regardless of where you are .	0
hey, Braveheart, I'm twenty-five years old and I'm a 5-6-year-old, blond-haired, blue-eyed, 120-	0
it's a great thing to see that there's more than just one pro-White organization in San Diego planning activities !	0
every year I'm smiling with a warm smile .	0
if you need help, you can go to your sister .	0
and that's what it is .	0
# x202a; Kenya - Hacked to death by a panga before the film crew & # x202c; & rlm;	0
and so on, for example, the population of Estonia, Latvia, Lithuania, North Russians .	0
yes, I'm from Edinburgh and I've been in school with a lot of blacks and pakis and half of them don't speak English .	0
my aunt's a teacher and she kicked a white girl out of school .	0
there's a sign on the fence with a skull and crossbones that says, 'Don't go beyond this point, danger, don't go any further .'	0
a bunch of fools .	0
the media will praise and encourage the non-white establishment, while denigrating and degrading the White man's establishment .	0
I'd probably be on the list if I had one .	0
do you live in a particular neighborhood of crime ?	0
I hope they'll bring Ebola to the rest of the world and spread it to the rest of them .	1
HUNGARY: THE JUSTICE OF THE WAR ! ! !	0
the fact that they try to do the same thing as they do in Ireland and Britain and everywhere else .	0
White owner of a jewelry store, John Lauseng, shot and killed during a robbery of jewellery store, NNN's newsroom .	0
today, they're just adding Muslims who are everywhere .	0
yes, I've seen a news report and they have a lot of ethnic background, so it's not just in one community . 	0
where's the South Jesery ?	0
I've been thinking about it . I've been thinking	0
when you see it, take it with a grain of salt .	0
I've written the last summer, but I had to cancel my trip .	0
your brother is a great patriot, and I hope you'll find your way to our nation's heart .	0
- The same video on the page of the guy's Facebook page .	0
the Axis was the most popular nationalist here at Stormfront, and the Allies were also cultural Marxists .	0
but the idea of the Camellia is great .	0
any day my scientist can destroy your scientist .	0
the Neanderthals, who had the largest brains of all humans, did it .	0
to arrest the mother of a whore who has a child to be born, she must be arrested and put in a nursery and arrested for not having more children .	1
