sentence 	 label
after earning a Ph .D . in sociology, danny bazil riley started working as a manager of a commercial real estate firm at $36,000 a year .	2
the Japanese nuclear plant is to close for security checks after a fatal accident .	2
Saudia said it would increase the oil market by 1 .3 million barrels a day, to help reverse the price rise . 	2
globalization is a strange thing for people . It's a day in the life of a manila consultant - a day of bluegrass and work .	2
autodesk's latest update to its hosted project collaboration service, which is aimed at construction and manufacturing, is now available .	2
the National Health Service (NHS) has hired Gartner Inc . to provide market information services as the health organisation develops .	2
even though the two founders of Google gave an interview to the magazine, the sec allowed the company to proceed with the sale . 	2
ap - a Russian cargo ship is docking with the International Space Station on Saturday, bringing supplies and other supplies to the two-man crew, said a Russian official .	3
because scientists have concluded that the rodents are no longer threatened, the list of candidates for the endangered species list has been removed from the list .	3
ap - the rescue of a minke whale washed ashore in the southeastern Brazilian coast, the fire department said on Thursday .	3
ap - the first time in North America, a red-legged falcon is spotted in the north .	3
it's something meteorologists say they've never seen - a tropical storm and a hurricane #151; or possibly two hurricanes #151;	3
he uses a variety of scientific instruments to examine the vibrant waters of the Pacific Ocean, Oregon State University graduate student anthony Kirincich .	3
ap - the authorities have no choice but to drop the rape cases if they can't catch the suspect before the deadline .	3
the new republic's website contains a fascinating article that attempts to explain the anomaly that although the US economy is growing, many of its citizens are worse off .	3
I suggest you submit a limerick to the queue .    I'm a poet, so I'll submit a favorite from my childhood:	3
I've never released this code, but I've been working on newsmonster and I've forgotten about it .	3
we announce the release of the java 3d API on the java .net .	3
&lt;strong &gt; Poll results &lt; / strong &gt; news for residents &lt; / strong &gt; news	3
the UK's rules on the definition of broadband internet are set out in the ad regulator .	3
there will be a sale of the game in the UK at the same time as concerns about violence in video games .	3
on Wednesday, the group of consumer electronics manufacturers approved the format for a new generation of discs that can store five times the data of dvds at the same cost - enough to store them in a single place .	3
on Monday, Deborah P . Majoras will take over the federal trade commission, said Timothy J . Muris, who took over the federal government's trade commission in the last year .	3
despite a disappointing start, the annual Perseid meteor shower could be spectacular .	3
the vandals who cut the fence are threatening a free zone for birds to nest .	3
the new analysis of fossils suggests that the dinosaurs were growing rapidly, and they were growing very quickly . 	3
the new movie, &lt; i &gt; a truck driver's chair, &lt; / i &gt; a balloon is tied to the chair .	3
the superb Chandra spatial resolution allowed the formation of a complex of several intergalactic hot gas clouds .      the superb Chandra spatial resolution allowed the formation of a complex of several intergalactic clouds .      the superb Chandra	3
in the second and final part of the interview, Harry Bortman explains how scientists can understand the origins of life on Earth, even if they don't find life on the planet .	3
the night sky would be a collection of millions of stars, like a sphere of light, a few hundred light-years across .	3
by Srinivasan, India (ap) -- India's plan to send a man to the moon by 2015 is being reconsidered, as the mission would cost a lot of money and yield little .	3
the european customer consolidating the use of Linux on the mainframe of big blue's dinosaur mainframe .	3
a new bagel variant is emerging on the internet .	3
Nortel's first major wireless deal with an Indian provider .	3
a new motion-based software package is included in the bundle .	3
officials at Sun Microsystems, Javalobby, and Infravio this week revealed initiatives aimed at both development of Java and Web services . 	3
as some e-mail experts raise doubts about the technology, leading anti-spam providers, anti-spam providers, and e-mail software companies are quickly adding support for the standard anti-spam technology .	3
on the portal of the entertainment portal, movie theaters, cinemas, and cinemas .com, Microsoft partners with them .	3
networked devices are vulnerable to the worm, the hackers .	3
- a state court ordered the sale of  r us and amazon .com to work together with the online retailer .	3
on Thursday, Google Inc . (goog) will close the registration process for its IPO auction, which will be the first time the internet search engine will be launched . Google plans to launch a new online search engine, which will be the first of	3
with Yahoo's new toolbar, you can banish unwanted spyware and tracking cookies .	3
Google and Yahoo have resolved two contentious issues between the two companies .	3
Google's initial public offering will be launched today at 5pm, and investors will be able to register by 5pm .	3
we will examine the means to bypass the access restrictions of the router or firewall of the company .  this information is intended to help those who are legitimately testing the security of the network (whether they are in-house experts) .	3
# 148; writes PC Magazine, # 148; writes PC Magazine, # 148; writes PC Magazine, # 148; writes PC Magazine .	3
in the new powerschool 4 .0, they have increased their knowledge of the new powerschool system and have increased their development activities through peer-to-peer networks .	3
ap - the Indians were in the lead for the first time in the al central, scoring four runs in the first inning and beating the Minnesota Twins 7-1 on Saturday night .	1
the US and Canada have been best placed to qualify for the final of the men's Olympic eights, as the two teams have been fighting for the last time .	1
in visiting oakland, he was 9 for 15 yards, the 2002 NFL MVP who was knocked out of the raiders' defeat to Kansas City .	1
the fastest time in the 200m freestyle is set by the fastest swimmer in the world .	0
the sheriff of Santa Barbara asks the judge to release the results of the investigation into Michael Jackson's treatment by the sheriff .	0
georgia and the south Ossetians have agreed to a ceasefire, despite reports of a village attack .	0
the British journalist who was kidnapped in Iraq said he was beaten and tried to escape .	0
the first execution in nine years in India has been condemned to hang a convicted rapist and murderer .	0
they lived in heavily guarded compounds, guarded streets, and often wore full-body armor when the Soviet troops came to Bosnia nearly a decade ago .	0
this week, the stock market will be in the midst of a doldrums, with rising oil prices and worries about the economy and the outlook for earnings .	2
ap - the U .S . amateur golf tournament begins Monday at the winged foot golf course, which will be played by the U .S . amateur golfers .	1
the thousands of U .S . troops in Afghanistan may have failed to catch Osama bin Laden, but they were credited with encouraging millions of Afghans to register .	0
the Taliban's attack on the U .S . troops in Afghanistan may have failed, but they were credited with encouraging millions of Afghans to register for the historic election .	0
the last time the band played together was a special festival in the US, where thousands of fans were there .	0
in the men's 4x100 metres freestyle final, Michael Phelps won eight gold medals in Athens, Greece, and he was the first to win the gold medal in Athens .	1
on Sunday, the hurricane's 145 mph winds swept through the ruins of the houses, and the residents fled the storm .	0
Venezuela's election was unprecedented, with millions of Venezuelans turning out in unprecedented numbers on Sunday to vote on whether to oust leftist president Hugo Chavez from the presidency .     lines were drawn by the bugle, the firecracker,	0
ap - Brett Tomko's first win in nearly a month and helped San Francisco win three games in a row .	1
in the eighth inning, Steve Finley hit a go-ahead rbi single to the left, and Adrian Beltre and Shawn Green were both in the eighth .	1
on Sunday, following the massacre of more than 150 tutsi in a camp in western Burundi, the Security Council met in emergency session .	0
ap - Michael Phelps certainly didn't bargain for this . He's lost his quest for eight gold medals in the 400-meter race .	1
it's like predicting the weather - an imperfect science .	2
after 19 months of recuperation and countless questions about his left knee, the buffalo finally answered the question .	1
trenton, N .J . - The new Democratic Party is growing in pressure, said a high-profile member of the legislature .	0
Wal-Mart, which has been criticized for its business tactics, is working to improve its image by supporting public broadcasting .	2
this year, the amount of research spending will increase by more than double, and the private sector will contribute more . 	3
as a result of separatist violence that has claimed more than 275 lives since the beginning of the year, two Chinese traders were killed in southern Thailand, said a senior official .	0
foxborough -- Matt lost his appendix this summer, and he lost a lot of pounds, but he didn't lose a penny of his wit . 	1
tomorrow's opening match of the tournament will be played by the American team, which will be played by a 7-6 victory over the Croatian team .	1
athens -- the sad lesson andre Berto learned last night was that there's only room for one Cinderella in the boxing ring .	1
when he visited the most sacred temple of the Tibetan monastery, the boy chosen by the Chinese government to be reborn as a Panchen Lama, the monks greeted him warmly, according to the report, which gave rare publicity to the monastery .	0
the debate about whether companies should treat stock options as a cost is mixed in the area of washington, some of which would be lost if the accounting rules change . 	3
workers at the main oil company in Sri Lanka have taken a two-day strike, protesting against the government's plans to sell the company . 	2
sony and Microsoft face a consumer apathy that attempts to turn the console into a multi-purpose entertainment device .	3
on Sunday, the 86th U .S . PGA championship was won by Kohler, who won the championship in a three-way playoff .	1
the lawyer of one of the lawyers representing the lawyer who faces trial in Damascus (reuters) - a prominent rights activist who has published false information - said he was released on bail .	0
Israel's psychological war against hundreds of prisoners on hunger strike .	0
a new software tool from wholesecurity Inc . can detect the use of phishing websites, according to the statement .	3
reuters - the government is expected to cut the price of oil and excise duties to control inflation without hurting the profitability of oil companies, said a government official on Monday .	0
the interim prime minister, iyad Allawi, urged the Iraqi court to speed up the trial of the toppled leader, Sadam Hussein and his aides .	0
the new terrorist summit raises fears of a new attack on the U .S . and the bomber's pilot .	0
the Japanese unit of the Japanese firm, which is also planning to sell its desktop computer, is also looking for an executive from the competition .	2
do you think the universe is inhabited by many worlds, but also inhabited by many of them, and many of them inhabited by many of them ? 	3
this month, the regulator could still launch an investigation into the acquisition of contentguard by the two titans .	3
roundup: Microsoft's updated work... a new desktop pioneer... $25 million...	3
ap - a 12-year-old girl, hoping for a better life, is riding a bike to a village of poor farmers, carrying a laptop with a high-speed, wireless internet connection . 	3
they found a large cistern with 28 steps leading to a deep underground pool of water, which they believe John baptized many of his followers .	0
instead, the high-tech thumbprint devices were meant to prevent voting more than once in the recall vote against the president of the president of the president of the president of the president of the president of the president of the president of the president of the president	3
ap - Robert D . Wall is too careful a scientist to say he's on the verge of a sensational discovery .	3
the three Americans accused of torture and imprisonment in Afghanistan on Monday were given a week to testify, which they say they were denied .	0
the only thing that Geoff mcarthur needed to prove that the Golden Bear football has changed since his freshman year was a short walk around the California campus .	1
on Tuesday, the news channel reported that the suspected militants kidnapped an Iraqi intelligence officer in response to the battle in the holy city of Najaf, the news channel reported .	0
ethiopia's haile gebrselassie could miss the Olympic 10,000m .	0
after the internet search company asked the regulator to approve the paperwork required for the sale, the stock market appeared to be on track for the week .	3
on Monday, the jury began the selection of the jury for the haitian leader convicted of killing a businessman and ordering the massacre in the early 1990s .	0
investor .reuters .com / fullquote .aspx ?t= Chicago / San Francisco (reuters) - Options traders have built bullish positions in the market .	2
investor .reuters .com / fullquote .aspx ?ticker=KKD .n target=/	2
athens (reuters) - to prepare for the Olympic Games, Kerri Pottharst has been trained to scream in her ear . 	1
on Monday, a flash flood swept over the seaside cities of southwestern England, and dozens of people were rescued from cars, trees and rooftops by emergency helicopters and lifeboats .	0
3com's entry into the wireless market is a partnership with the start-up trapeze network .	3
#151: The theory of thousands of shards from ritual jars, which are used to cleanse the feet and walls of the tombstones, is based on thousands of shards from ritual jars .	3
on Tuesday, the company announced that it had taken a major step forward in the initial public offering, which was announced by investors on Tuesday, the last opportunity to withdraw or change the offer . &	3
despite the increase in revenue, the company's second quarter loss was a loss, even though the company had been expected to earn more than expected . 	3
there's no wonder that the man with the most popular hands in the city is Tetsuo, the gion geisha district of the Japanese capital .	0
on Monday, the city's workers distributed water to trucks and urged the evacuation of the city's population of cuban, which had no running water . 	0
on Monday after missing the first two weeks of training camp, Walt Harris will take his first full practice as a redhead .	1
the company said that the new windows-only harmony technology, which allows the music store to be played on Apple's ipod, will be displayed in a series of print, radio and online advertising .	3
after conceding that the security of the Windows XP operating system is vulnerable to security breaches, Microsoft Corp . has completed a major software overhaul .	2
new York -- Northeast Utilities, UIL Holdings Corp ., and New England's grid operator have proposed changes to the planned power line in the northeast .	2
the game against the Toronto Blue Jays was a game where players renew their vows to play together, and last night's 8-4 win was a game .	1
in 19 U .S . cities, saudi arabia launched a radio advertising campaign, which was based on the Commission's report on terrorism .	0
on Tuesday, the security forces were put on alert in the capital, as tourists were leaving the hotel .	0
on Tuesday, the Israeli government invited the construction of 1,001 new homes in the West Bank, which is contrary to the U .S .-backed peace plan, which calls for a freeze .	0
ap - the plate, albert pujols and chipper Jones had a great night at the table .	1
this year, as rising costs of oil prices are pushing inflation to rise, the Chinese economy could moderate the price of oil, said analysts and state media .	0
ap - the boys have returned to the medal stand for 20 years . 	1
investor .reuters .com / fullquote .aspx ?ticker=el .n target=/	2
PC World - A small 802 .11b adapter will work with Zire 72, tungsten t3 .	3
afp - a small French village in Brittany - the self-proclaimed capital of the twin-dom - has been hosting a large international gathering of thousands of identical twins, triplets and quadruplets . 	0
florida, after Hurricane Charley, is still without power for more than seven hundred thousand people, and officials estimate it will take weeks to restore power . 	0
after a flash flood, the day before, a wall of water flooded the picturesque tourist site, and rescue workers searched the coast of the village .	0
deere  co . &lt; a href =  http: / / www .investor .reuters .com / fullquote .aspx ? ticker = de .n target = / stocks / quickinfo /	2
new York (reuters) - The time for prospective investors to submit their offers to buy shares of Google Inc . is running out .	2
on Tuesday, two separate reports showed inflationary pressures were contained in July and August, and the US housing market has rebounded sharply .	2
in the meantime, Intel Corp . (intc) said it would not offer a chip for projection screens by the end of 2004 .	3
the dollar's dollar exchange rate has strengthened against the euro on Tuesday, as the U .S . economy failed to significantly change the expectations of the Federal Reserve's interest rate . 	2
the father of a computer engineer detained in Pakistan last month, who was suspected of links to al-Qaeda, filed a petition on Tuesday .	0
this year, real estate investment trusts such as the capitalization of shopping malls and industrial buildings may be more profitable than the market .	2
there's a sheltered cove on the pink granite coast of the gulf of St . Lawrence, where the whale relationship has been witnessed by the full range of human relationships with whales .	3
if you have a zire 72 or tungsten t3, you can get a better wireless connection than the built-in bluetooth .	3
according to a new report from the National Science Foundation, more than a fifth of our scientists and engineers don't have a bachelor's degree, the report said .	3
the microscopic organisms are known to be able to destroy the marine life of the sea, and the beaches are threatened by destructive algae .	3
last week, scientists said that the coral's coral is not just a coral, but a bacteria that live inside it .	3
in March, a senior al Qaeda operative was arrested in Britain, and he was detained near the border with Pakistan . 	0
the new version of Windows has been released every two or three years, and it's been a long time since we've used it .	3
# 39;s office, including those in the PM's office, have been banned from talking about what happened to # 39;s office .	0
reuters - the indictment of eight men on Tuesday\ charged with conspiracy to murder and other terrorism offences, some\ related to plans for the U .S . stock exchange\	0
atlanta (reuters) - home depot inc . &lt; a href=http: / / www .investor .reuters .com / fullquote .aspx ? ticker = HD .n target = / stocks / quickinfo / full	2
when to grow and sell the stock, Legg Mason's Mary Gay knows when to pay .	2
the scientists say they found a new species of flightless bird on the tiny island of Calayan in the north .	3
the prime minister's approval of the construction of 1,000 more Israeli settlers in the occupied West Bank has been postponed, according to plans to avoid conflict with Washington .	0
Symantec has announced a new version of its security products - beefing up the real-time and automated functions - and will be released in the next few weeks .	3
afp - the Swiss airline said it had reduced its net loss by about 90 per cent, but warned that the cost of fuel was hampering the airline's ability to improve its performance .	0
on January 5, the trial will be held in Birmingham, Alabama, where Rich Scrushy will be held .	2
venezuelan leader Hugo Chavez, who has accused opponents of fraud in the referendum he seems to have won, is now hugging his opponent .	0
on Tuesday, the department store operator, JCP .N, reported a quarterly profit of $1 .5 billion, reversing a loss of $1 .4 billion a year ago .	2
after news that the RCMP has launched an investigation into accounting practices at the telecommunications company, shares of the Nortel network fell sharply .	2
Phoenix (ticker) -- Jack Wilson's sacrifice fly in the 10th inning lifted the Arizona Diamondbacks to a wild 8-7 win .	1
in Kabul, a trial has been held in a private torture chamber accused of running a private torture chamber .	0
on Tuesday, after the Army announced that it would not extend the deadline for the company to explain its billing in Iraq, Halliburton (hal:nyse - news - research) fell .	2
on Monday, the US military said there were several casualties in the clashes with the Iraqi government # 39; the US military said there were several casualties .	0
afp - the US military has denied reports that the US military has launched air strikes against the Taliban in Afghanistan .	0
on Monday, after the arrest of a new York police officer, he was arrested on the grounds of the New York Police Department, according to the New York Police Department .	3
ashburn, va (sports network) - the Washington Redskins have released a security guard, a starter for 15 games last season .	1
# 39;s decision to boycott the Olympic Games is an attack on the Olympic ideal .	1
paul lo duca, the 30-year-old mother of two .	1
# 39, Google Inc . (goog .o: Google Inc . (goog .o: Google Inc . (goog .o: Google Inc . (goog .o: Google Inc . (goog .o: Google Inc .	2
the market has been buoyed by a drop in consumer prices and a decline in oil prices on Tuesday, which allowed investors to postpone concerns about inflation and the market's price rise . 	2
# 39;s flamboyant premier Silvio Berlusconi has been hosting a holiday party for Britain # 39;s tony blair	0
canada, the United Kingdom and Ireland will soon be able to import cheaper prescription drugs from Canada, the United Kingdom and Ireland, sidestepping the U .S . government's objections .	2
in 2050, India will be the world's most populous country, growing by 50% in the next 46 years, according to the Institute of Economic Development . 	0
on Monday, Chicago Motorola Inc . and Hewlett-Packard Co . announced a new deal to help mobile phone operators use the Linux-based computer system .	3
when he lost to unseeded tomas berdych of the Czech Republic, he was no longer in the Olympic tennis tournament .	1
the serendipitous moments when birds and time are together for a memorable photo, the birdman of Belair Mathew Tekulsky .	3
ap - the United States has ruled out the possibility of building 1,000 new homes in the West Bank, which is contrary to the peace plan for the Middle East . 	0
on Tuesday, the price of oil rose to a new record high of $112 .5 a barrel, according to the latest U .S . economic data, which showed inflationary pressures were eased .	2
scientists are planning to take the planet's pulse -- and more -- to improve weather forecasts, predict energy needs, anticipate disease outbreaks and even tell fishermen where the catch is abundant . 	3
Fedex Kinko # 39; Tuesday's free software is a Windows user-to-the-Fedex # 39;s printer, binding, and shipping service . 	3
on Tuesday, Illinois Governor Bruce Rauner announced that the state would soon be running a website to help residents buy drugs from the United Kingdom, Ireland and the United States .	0
eight suspects were arrested Tuesday in connection with the murder of a British terrorist, a chemical bomb, a radioactive substance or a bomb .	0
Microsoft (quote, chart) is ready to release the mainframe and legacy applications of the mainframe and legacy applications . 	3
ap - Robert Porcher knows he's going to end his career .	1
the iee 802 .11 task group n (tgn), which is chartered with the development of a next-generation, has announced its intention to submit a complete joint proposal to the iee 802 .11 task group n (tgn) .	3
the British police have identified a suspect named Dhiren Barot, a Pakistani-born terrorist accused of planning an attack on the financial sector .	0
it is designed to make it easier for users to connect to the mainframes and the mainframes of IBM's mainframes and the mainframes of the mainframes of the mainframes of IBM's mainframes .	3
the analysts warn that the delay in shipment of g5 chips from IBM could affect the bottom line of the apple computer .	3
it's going to sell songs for $49 cents and albums for $4 .99 for three weeks .	3
there were no deaths in the flash flooding that hit the seaside towns of southwest England, said the London police .	0
the world's population is facing a long-term decline or decline in many large industrialized countries, demographers say .	0
on Monday, the men # 39 at Athens Olympian took revenge on the men's # 39 athens olympics with a win in the men's gymnastics steam .	1
the HP (nyse: hpq) d530 desktop, equipped with a 2 .8 GHz Pentium 4 with hyperthreading technology, will be appreciated by the management .	3
the conference's participants identified faster ways to create digital signatures using common security algorithms .	3
on Wednesday, a bomb exploded in the home of a senior leader of the Jewish community in Gaza, killing four people and injuring several others .	0
